id,en,zh-HK,zh-Hant,zh-Hans
Korea (South),Korea (South),南韓(大韓民國),南韓(大韓民國),南韩(大韩民国)
Kosovo,Kosovo,科索沃,科索沃,科索沃
Kuwait,Kuwait,科威特,科威特,科威特
Kyrgyzstan,Kyrgyzstan,吉爾吉斯斯坦,吉爾吉斯斯坦,吉尔吉斯斯坦
Laos,Laos,老撾,老撾,老挝
Latvia,Latvia,拉脫維亞,拉脫維亞,拉脱维亚
Lebanon,Lebanon,黎巴嫩,黎巴嫩,黎巴嫩
Lesotho,Lesotho,萊索托,萊索托,莱索托
Liberia,Liberia,利比里亞,利比里亞,利比里亚
Libya,Libya,利比亞,利比亞,利比亚
Liechtenstein,Liechtenstein,列支敦士登,列支敦士登,列支敦士登
Lithuania,Lithuania,立陶宛,立陶宛,立陶宛
Luxembourg,Luxembourg,盧森堡,盧森堡,卢森堡
Macedonia,Macedonia,馬其頓,馬其頓,马其顿
Madagascar,Madagascar,馬達加斯加,馬達加斯加,马达加斯加
Malawi,Malawi,馬拉維,馬拉維,马拉维
Malaysia,Malaysia,馬來西亞,馬來西亞,马来西亚
Maldives,Maldives,馬爾代夫,馬爾代夫,马尔代夫
Mali,Mali,馬里,馬里,马里
Malta,Malta,馬耳他,馬耳他,马耳他
Marshall Islands,Marshall Islands,馬紹爾群島,馬紹爾群島,马绍尔群岛
Mauritania,Mauritania,毛里塔尼亞,毛里塔尼亞,毛里塔尼亚
Mauritius,Mauritius,毛里求斯,毛里求斯,毛里求斯
Mayotte,Mayotte,馬約特島,馬約特島,马约特岛
Mexico,Mexico,墨西哥,墨西哥,墨西哥
Micronesia,Micronesia,密克羅尼西亞,密克羅尼西亞,密克罗尼西亚
Moldova,Moldova,摩爾多瓦,摩爾多瓦,摩尔多瓦
Monaco,Monaco,摩納哥,摩納哥,摩纳哥
Mongolia,Mongolia,蒙古,蒙古,蒙古
Montenegro,Montenegro,黑山,黑山,黑山
Morocco,Morocco,摩洛哥,摩洛哥,摩洛哥
Mozambique,Mozambique,莫桑比克,莫桑比克,莫桑比克
Myanmar,Myanmar,緬甸,緬甸,缅甸
Namibia,Namibia,納米比亞,納米比亞,纳米比亚
Nauru,Nauru,瑙魯,瑙魯,瑙鲁
Nepal,Nepal,尼泊爾,尼泊爾,尼泊尔
Netherlands,Netherlands,荷蘭,荷蘭,荷兰
Netherlands Antilles,Netherlands Antilles,荷屬安的列斯,荷屬安的列斯,荷属安的列斯
New Caledonia,New Caledonia,新喀裡多尼亞,新喀裡多尼亞,新喀里多尼亚
New Zealand,New Zealand,新西蘭,新西蘭,新西兰
Nicaragua,Nicaragua,尼加拉瓜,尼加拉瓜,尼加拉瓜
Niger,Niger,尼日爾,尼日爾,尼日尔
Nigeria,Nigeria,尼日利亞,尼日利亞,尼日利亚
Niue,Niue,紐埃,紐埃,纽埃
North Korea,North Korea,北朝鮮,北朝鮮,北朝鲜
Norway,Norway,挪威,挪威,挪威
Oman,Oman,阿曼,阿曼,阿曼
Pakistan,Pakistan,巴基斯坦,巴基斯坦,巴基斯坦
Palau,Palau,帕勞,帕勞,帕劳
Palestine (States Of),Palestine (States Of),巴勒斯坦（國）,巴勒斯坦（國）,巴勒斯坦（国）
Panama,Panama,巴拿馬,巴拿馬,巴拿马
Papua New Guinea,Papua New Guinea,巴布亞新幾內亞,巴布亞新幾內亞,巴布亚新几内亚
Paraguay,Paraguay,巴拉圭,巴拉圭,巴拉圭
Peru,Peru,秘魯,秘魯,秘鲁
Philippines,Philippines,菲律賓,菲律賓,菲律宾
Poland,Poland,波蘭,波蘭,波兰
Portugal,Portugal,葡萄牙,葡萄牙,葡萄牙
Qatar,Qatar,卡塔爾,卡塔爾,卡塔尔
Republic of the Congo,Republic of the Congo,剛果共和國,剛果共和國,刚果共和国
Reunion,Reunion,團圓,團圓,团圆
Romania,Romania,羅馬尼亞,羅馬尼亞,罗马尼亚
Russia,Russia,俄羅斯,俄羅斯,俄罗斯
Rwanda,Rwanda,盧旺達,盧旺達,卢旺达
Saint Barthelemy,Saint Barthelemy,聖巴泰勒米,聖巴泰勒米,圣巴泰勒米
Saint Helena,Saint Helena,聖海倫娜,聖海倫娜,圣海伦娜
Saint Martin,Saint Martin,聖馬丁,聖馬丁,圣马丁
Saint Pierre and Miquelon,Saint Pierre and Miquelon,聖皮埃爾和密克隆,聖皮埃爾和密克隆,圣皮埃尔和密克隆
Samoa,Samoa,薩摩亞,薩摩亞,萨摩亚
San Marino,San Marino,聖馬力諾,聖馬力諾,圣马力诺
Sao Tome and Principe,Sao Tome and Principe,聖多美和普林西比,聖多美和普林西比,圣多美和普林西比
Saudi Arabia,Saudi Arabia,沙特阿拉伯,沙特阿拉伯,沙特阿拉伯
Senegal,Senegal,塞內加爾,塞內加爾,塞内加尔
Serbia,Serbia,塞爾維亞,塞爾維亞,塞尔维亚
Seychelles,Seychelles,塞舌爾,塞舌爾,塞舌尔
Sierra Leone,Sierra Leone,塞拉利昂,塞拉利昂,塞拉利昂
Singapore,Singapore,新加坡,新加坡,新加坡
Slovak Republic,Slovak Republic,斯洛伐克共和國,斯洛伐克共和國,斯洛伐克共和国
Slovenia Republic,Slovenia Republic,斯洛文尼亞共和國,斯洛文尼亞共和國,斯洛文尼亚共和国
Solomon Islands,Solomon Islands,所羅門群島,所羅門群島,所罗门群岛
Somalia,Somalia,索馬里,索馬里,索马里
South Africa,South Africa,南非,南非,南非
South Sudan,South Sudan,南蘇丹,南蘇丹,南苏丹
Spain,Spain,西班牙,西班牙,西班牙
Sri Lanka,Sri Lanka,斯里蘭卡,斯里蘭卡,斯里兰卡
Sudan,Sudan,蘇丹,蘇丹,苏丹
Suriname,Suriname,蘇里南,蘇里南,苏里南
Svalbard and Jan Mayen,Svalbard and Jan Mayen,斯瓦爾巴和揚馬延,斯瓦爾巴和揚馬延,斯瓦尔巴和扬马延
Swaziland,Swaziland,斯威士蘭,斯威士蘭,斯威士兰
Sweden,Sweden,瑞典,瑞典,瑞典
Switzerland,Switzerland,瑞士,瑞士,瑞士
Syria,Syria,敘利亞,敘利亞,叙利亚
Tajikistan,Tajikistan,塔吉克斯坦,塔吉克斯坦,塔吉克斯坦
Tanzania,Tanzania,坦桑尼亞,坦桑尼亞,坦桑尼亚
Thailand,Thailand,泰國,泰國,泰国
Togo,Togo,多哥,多哥,多哥
Tokelau,Tokelau,托克勞,托克勞,托克劳
Tonga,Tonga,湯加,湯加,汤加
Tunisia,Tunisia,突尼斯,突尼斯,突尼斯
Turkey,Turkey,土耳其,土耳其,土耳其
Turkmenistan,Turkmenistan,土庫曼斯坦,土庫曼斯坦,土库曼斯坦
Tuvalu,Tuvalu,圖瓦盧,圖瓦盧,图瓦卢
U.S.A.,U.S.A.,美國,美國,美国
U.S.A. - Guam,U.S.A. - Guam,美國 - 關島,美國 - 關島,美国 - 关岛
Uganda,Uganda,烏干達,烏干達,乌干达
Ukraine,Ukraine,烏克蘭,烏克蘭,乌克兰
United Arab Emirates,United Arab Emirates,阿拉伯聯合酋長國,阿拉伯聯合酋長國,阿拉伯联合酋长国
United Kingdom,United Kingdom,英國,英國,英国
Uruguay,Uruguay,烏拉圭,烏拉圭,乌拉圭
Uzbekistan,Uzbekistan,烏茲別克斯坦,烏茲別克斯坦,乌兹别克斯坦
Vanuatu,Vanuatu,瓦努阿圖,瓦努阿圖,瓦努阿图
Vatican,Vatican,教廷,教廷,教廷
Venezuela,Venezuela,委內瑞拉,委內瑞拉,委内瑞拉
Vietnam,Vietnam,越南,越南,越南
Wallis and Futuna,Wallis and Futuna,瓦利斯群島和富圖納群島,瓦利斯群島和富圖納群島,瓦利斯群岛和富图纳群岛
Western Sahara,Western Sahara,撒哈拉沙漠西部,撒哈拉沙漠西部,撒哈拉沙漠西部
Yemen,Yemen,也門,也門,也门
Zambia,Zambia,贊比亞,贊比亞,赞比亚
Zimbabwe,Zimbabwe,津巴布韋,津巴布韋,津巴布韦
,,,,
--- Document Type ---,--- Document Type ---,--- 身份證明文件類型 --- ,--- 身份證明文件類型 --- ,--- 身份证明文件类型 ---
HKID,HKID,香港身份證號碼,香港身份證號碼,香港身份证号码
Birth Certificate,Birth Certificate,出生證明,出生證明,出生证明
Certificate of Entitlement to the Right of Abode in the HK SAR,Certificate of Entitlement to the Right of Abode in the HK SAR,香港特別行政區居留權證明書,香港特別行政區居留權證明書,香港特别行政区居留权证明书
Certificate of Identity,Certificate of Identity,身份證明書,身份證明書,身份证明书
Chinese Fisherman Certificate of Permit,Chinese Fisherman Certificate of Permit,中國漁民許可證書,中國漁民許可證書,中国渔民许证书
Chinese Identity Card,Chinese Identity Card,中國身份證,中國身份證,中国身份证
Chinese One-way Entry Permit,Chinese One-way Entry Permit,中國單程證,中國單程證,中国单程证
Chinese Travel Permit,Chinese Travel Permit,中國旅行證,中國旅行證,中国旅行证
Chinese Two-way Entry Permit,Chinese Two-way Entry Permit,往來港澳通行證,往來港澳通行證,往来港澳通行证
Chinese Two-way Entry Permit(Taiwan Travel),Chinese Two-way Entry Permit(Taiwan Travel),中國往返通行證(台灣旅遊),中國往返通行證(台灣旅遊),中国往返通行证(台湾旅游)
Hong Kong Re-Entry Permit,Hong Kong Re-Entry Permit,香港回港證,香港回港證,香港回港证
Macau Identity Card,Macau Identity Card,澳門身份證,澳門身份證,澳门身份证
Passport,Passport,護照,護照,护照
People's Liberation Army Identity Card,People's Liberation Army Identity Card,中國人民解放軍身份證,中國人民解放軍身份證,中国人民解放军身份证
Recognizance,Recognizance,臨時身份證明書,臨時身份證明書,临时身份证明书
VALID-PRC DRIVERS,VALID-PRC DRIVERS,中國駕駛證,中國駕駛證,中国驾驭证
Vietnamese Refugee Card,Vietnamese Refugee Card,越南難民卡,越南難民卡,越南难民卡
,,,,
--- Occupation ---,--- Occupation ---,--- 職業  ---,--- 職業  ---,--- 职业   ---
"Agriculture, forestry and fishing","Agriculture, forestry and fishing",農林漁業,農林漁業,农林渔业
Mining and quarrying,Mining and quarrying,採礦和採石,採礦和採石,采矿和采石
Manufacturing,Manufacturing,製造業,製造業,制造业
Electricity and gas supply,Electricity and gas supply,電力和天然氣供應,電力和天然氣供應,电力和天然气供应
"Water supply, sewerage, waste management and remediation activities","Water supply, sewerage, waste management and remediation activities",供水、污水處理、廢物管理和補救活動,供水、污水處理、廢物管理和補救活動,供水、污水处理、废物管理和补救活动
Construction,Construction,建造,建造,建造
"Import/export, wholesale and retail trades","Import/export, wholesale and retail trades",進出口、批發和零售貿易,進出口、批發和零售貿易,进出口、批发和零售贸易
"Transportation, storage, postal and courier services","Transportation, storage, postal and courier services",運輸、倉儲、郵政和快遞服務,運輸、倉儲、郵政和快遞服務,运输、仓储、邮政和快递服务
Accommodation and food service activities,Accommodation and food service activities,住宿和餐飲服務活動,住宿和餐飲服務活動,住宿和餐饮服务活动
Information and communications,Information and communications,信息和通信,信息和通信,信息和通讯
Financial and insurance activities,Financial and insurance activities,金融和保險活動,金融和保險活動,金融和保险活动
Real estate activities,Real estate activities,房地產活動,房地產活動,房地产活动
"Professional, scientific and technical activities","Professional, scientific and technical activities",專業、科學和技術活動,專業、科學和技術活動,专业、科学和技术活动
Administrative and support service activities,Administrative and support service activities,行政和支持服務活動,行政和支持服務活動,行政和支持服务活动
Public administration,Public administration,公共行政,公共行政,公共行政
Education,Education,教育,教育,教育
Human health and social work activities,Human health and social work activities,人類健康和社會工作活動,人類健康和社會工作活動,人类健康和社会工作活动
"Arts, entertainment and recreation","Arts, entertainment and recreation",藝術、娛樂和休閒,藝術、娛樂和休閒,艺术、娱乐和休闲
Other service activities,Other service activities,其他服務活動,其他服務活動,其他服务活动
Work activities within domestic households,Work activities within domestic households,家庭內的工作活動,家庭內的工作活動,家庭内的工作活动
Activities of extraterritorial organisations and bodies,Activities of extraterritorial organisations and bodies,域外組織和機構的活動,域外組織和機構的活動,域外组织和机构的活动
,,,,
--- Gender ---,--- Gender ---,--- 性别 ---,--- 性别 ---,--- 性别 ---
Male,Male,男,男,男
Female,Female,女,女,女
,,,,
Register.Title1,User Registration,用戶註冊,用戶註冊,用户注册
Register.Text1,You must fill in the fields with an asterisk,您必須填寫標有星號,您必須填寫標有星號,您必须填写标有星号
Register.Text2,,之欄位或部分,之欄位或部分,之栏位或部分
Register.Label1,Email:,電郵:,電郵:,电邮:
Register.Label2,Password:,密碼:,密碼:,密码:
Register.Label3,Confirm Password:,確認密碼:,確認密碼:,确认密码:
Register.Label4,Last Name:,英文姓氏:,英文姓氏:,英文姓氏:
Register.Label5,First Name:,英文名字:,英文名字:,英文名字:
Register.Label6,Mobile Number:,手機號碼:,手機號碼:,手机号码:
Register.Label7,Chinese Name:,中文名稱:,中文名稱:,中文名称:
Register.Label8,Identity Document:,身份證明文件:,身份證明文件:,身份证明文件:
Register.Label9a,Identity Document ID:,身份證明文件號碼:,身份證明文件號碼:,身份证明文件号码:
Register.Label9b,HKID Number:,香港身份證號碼:,香港身份證號碼:,香港身份证号码:
Register.Label10,Date of Birth:,出生日期:,出生日期:,出生日期:
Register.Label11,Gender:,性別:,性別:,性别:
Register.Label12,Address:,地址:,地址:,地址:
Register.Label13,Area of Residence:,居住地區:,居住地區:,居住地区:
Register.Label14,Company:,公司:,公司:,公司:
Register.Label15,Post:,職位:,職位:,职位:
Register.Label16,Occupation:,職業:,職業:,职业:
Register.Button,Register,註冊,註冊,注册
,,,,
Register.Placeholder1,Enter email,輸入電郵,輸入電郵,输入电邮
Register.Placeholder2,Enter password,輸入密碼,輸入密碼,输入密码
Register.Placeholder3,Enter confirm password,輸入確認密碼,輸入確認密碼,输入确认密码
Register.Placeholder4,Enter last name,輸入英文姓氏,輸入英文姓氏,输入英文姓氏
Register.Placeholder5,Enter first name,輸入英文名字,輸入英文名字,输入英文名字
Register.Placeholder6,Enter mobile number,輸入手機號碼,輸入手機號碼,输入手机号码
Register.Placeholder7,Enter chinese name,輸入中文名稱,輸入中文名稱,输入中文名称
Register.Placeholder8,Enter identity document ID,輸入身份證明文件號碼,輸入身份證明文件號碼,输入身份证明文件号码
Register.Placeholder9,Enter address,輸入地址,輸入地址,输入地址
Register.Placeholder10,Enter company,輸入公司,輸入公司,输入公司
Register.Placeholder11,Enter post,輸入職位,輸入職位,输入职位
Register.Placeholder12,Enter verification code,輸入驗證碼,輸入驗證碼,输入验证码
Register.Placeholder13,yyyy-mm-dd,年-月-日,年-月-日,年-月-日
,,,,
Register.email.pre.error1,You have entered an invalid email address. Please try again.,您輸入的電郵地址無效，請重新輸入。,您輸入的電郵地址無效，請重新輸入。,您输入的电邮地址无效，请重新输入。
Register.email.pre.error2,Email address has already been used. Please enter another one.,電郵地址已被使用，請輸入另一個。,電郵地址已被使用，請輸入另一個。,电邮地址已被使用，请输入另一个。
Register.email.pre.error3,Please enter your email.,請輸入您的電郵。,請輸入您的電郵。,请输入您的电邮。
Register.email.pre.error4,"Your provided email has not been verified yet. Please tap \""Verify\"" to receive a verification code email and input the verification code.",您提供的電郵地址尚未通過驗證，請按「驗證」收取驗證碼電郵並輸入該驗證碼。,您提供的電郵地址尚未通過驗證，請按「驗證」收取驗證碼電郵並輸入該驗證碼。,您提供的电邮地址尚未通过验证，请按「验证」收取验证码电邮并输入该验证码。
Register.password.pre.error1,Please enter your password.,請輸入您的密碼。,請輸入您的密碼。,请输入您的密码。
Register.password.pre.error2,At least 8 characters,至少 8 個字符,至少 8 個字符,至少 8 个字符
Register.password.pre.error3,At least 1 mixed-case alphabetic character,至少 1 個大小寫混合的字母字符,至少 1 個大小寫混合的字母字符,至少 1 个大小写混合的字母字符
Register.password.pre.error4,At least 1 numeric character,至少 1 個數字字符,至少 1 個數字字符,至少 1 个数字字符
Register.password.pre.error5,At least 1 special character,至少 1 個特殊字符,至少 1 個特殊字符,至少 1 个特殊字符
Register.confirmpassword.pre.error1,Please enter your confirm password.,請輸入您的確認密碼。,請輸入您的確認密碼。,请输入您的确认密码。
Register.confirmpassword.pre.error2,Password and Confirm Password do not match. Please try again.,密碼和確認密碼不匹配，請重新輸入。,密碼和確認密碼不匹配，請重新輸入。,密码和确认密码不匹配，请重新输入。
Register.firstname.pre.error1,Please enter your first name.,請輸入您的英文名字。,請輸入您的英文名字。,请输入您的英文名字。
Register.firstname.pre.error2,You have entered an invalid first name.,您輸入的英文名字無效。,您輸入的英文名字無效。,您输入的英文名字无效。
Register.lastname.pre.error1,Please enter your last name.,請輸入您的英文姓氏。,請輸入您的英文姓氏。,请输入您的英文姓氏。
Register.lastname.pre.error2,You have entered an invalid last name.,您輸入的英文姓氏無效。,您輸入的英文姓氏無效。,您输入的英文姓氏无效。
